"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
BDI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.516013478,6.0,0.022900824,0.008953435
NLD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.375,0.0,0.16666666666666666,0.0,0.0,0.0,0.524655148,11.0,0.040045665,0.009434479
IRQ,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.333572905,0.0,0.019115178,0.007881919
SVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312801435,2.0,0.019844722,0.008060315
SVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553811807,7.0,0.021173858,0.008482083
GNQ,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.306950269,1.0,0.019408135,0.007918396
THA,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,0.125,0.0,0.5,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.598991064,24.0,0.07285973,0.011143776
ABW,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.096145844,0.0,0.01843237,0.007840882
ASM,,,,,,,,,,,,,,,,,0.068849522,0.0,0.019563733,0.008035237
SWE,0.0,0.0,0.0,0.0,0.2857142857142857,0.125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552423965,13.0,0.030602637,0.008533949
ISL,0.0,0.0,0.0,0.0,0.16666666666666666,0.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339522673,13.0,0.030594658,0.008709494
LIC,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425391645,0.0,0.019043934,0.008034667
MKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485088816,11.0,0.025441118,0.008403999
BEL,0.25,0.0,0.0,0.2,0.125,0.42857142857142855,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436513193,14.0,0.030672742,0.008552187
ISR,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.257744274,6.0,0.022987457,0.008366382
KWT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343331688,0.0,0.021099764,0.008104201
LIE,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.19319279,0.0,0.018789163,0.008036376
DZA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409778846,0.0,0.018927662,0.008048346
BEN,,,,0.0,,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.428374224,2.0,0.019312952,0.00799648
RUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113952974,4.0,0.02154091,0.008630841
ATG,,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.422868451,0.0,0.018994347,0.007910987
ITA,0.0,0.0,0.0,0.0,0.375,0.125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543914525,10.0,0.026390093,0.008270628
SWZ,,,,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.466386287,6.0,0.020591933,0.00812871
TZA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451446035,3.0,0.020147368,0.007953733
PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.505181468,12.0,0.039142285,0.009203647
BFA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432045879,2.0,0.019420675,0.007957153
PAN,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.534413362,6.0,0.021550029,0.008112181
SGP,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.576306253,11.0,0.037752732,0.009115303
UKR,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463698945,1.0,0.018996627,0.007937205
KGZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488357513,9.0,0.0246295,0.008317935
CHE,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407564,9.0,0.024261308,0.008311095
DJI,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.243941655,0.0,0.018845589,0.008013009
CHI,,,,,,,,,,,,,0.0,,0.0,,0.067720439,0.0,0.019117458,0.00786995
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47394219,5.0,0.022642064,0.008302546
PRI,,,,,,0.0,,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.372636536,2.0,0.019937054,0.008240991
CHN,,,,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.46337179,4.0,0.021181268,0.008182856
PRK,,,,0.0,0.0,,0.0,,,,,0.0,,,,,0.184786512,0.0,0.018888905,0.007832902
SXM,,,,,0.0,,,,,,,,,,,,0.066470526,0.0,0.018692271,0.007749689
MLI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.354045148,3.0,0.019694823,0.00812586
ADO,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.296907648,0.0,0.018899165,0.007942334
BWA,,,,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.431886292,5.0,0.021135671,0.008091093
HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290513313,5.0,0.022204908,0.008348713
KHM,0.0,0.0,,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486397435,13.0,0.023314612,0.00825239
IDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.0,0.125,0.0,0.0,0.0,0.574968567,19.0,0.069298076,0.010866207
PRT,0.5,0.0,0.0,0.0,0.125,0.25,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.444648172,12.0,0.026489836,0.008687836
MLT,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602855934,14.0,0.039599959,0.009464116
TJK,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457374145,1.0,0.019147666,0.008155498
VNM,,,,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477194358,2.0,0.020556026,0.008354982
CYM,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.099222467,0.0,0.019157354,0.007986791
